Date,Open,High,Low,Close,Color,Percent_Change,Month_Count
2007-01-01,101.19,102.53,99.77,102.26,green,1.32,1
2007-02-01,102.54,104.15,98.88,100.25,red,-3.57,1
2007-03-01,99.12,102.3,97.28,101.01,green,3.21,1
2007-04-01,101.53,106.98,101.04,105.9,green,5.37,1
2007-05-01,106.0,109.9,105.46,109.5,green,3.69,1
2007-06-01,109.9,110.27,105.74,107.43,red,-3.78,1
2007-07-01,108.21,111.55,104.03,104.52,red,-3.86,1
2007-08-01,104.13,108.01,98.26,105.86,green,3.73,1
2007-09-01,105.76,110.73,103.52,109.44,green,4.71,1
2007-10-01,109.97,113.52,107.13,111.45,green,3.22,1
2007-11-01,110.47,110.55,101.37,107.13,red,-8.24,1
2007-12-01,106.79,110.18,103.74,105.37,red,-2.85,1
2008-01-01,106.16,106.49,91.28,99.52,red,-14.01,1
2008-02-01,99.93,101.14,95.43,96.95,red,-4.5,1
2008-03-01,96.46,98.39,91.33,95.61,red,-5.31,1
2008-04-01,97.28,102.36,96.34,100.66,green,5.22,1
2008-05-01,100.75,105.06,100.12,102.18,green,4.28,1
2008-06-01,101.8,102.58,92.49,93.18,red,-9.15,1
2008-07-01,92.57,94.51,87.82,92.8,green,2.09,1
2008-08-01,93.01,96.23,91.29,94.23,green,3.45,1
2008-09-01,95.14,95.64,80.87,84.87,red,-15.0,1
2008-10-01,84.83,85.88,61.51,71.26,red,-27.49,1
2008-11-01,71.22,74.23,54.71,66.3,red,-23.19,1
2008-12-01,64.4,68.02,60.24,66.41,green,5.62,1
2009-01-01,67.1,70.07,59.39,61.45,red,-11.49,1
2009-02-01,60.52,65.09,54.76,54.85,red,-9.51,1
2009-03-01,53.8,61.8,49.78,59.0,green,14.86,1
2009-04-01,58.68,66.52,58.53,65.32,green,13.36,1
2009-05-01,65.34,70.01,64.8,69.14,green,7.16,1
2009-06-01,69.99,71.81,66.39,68.71,red,-5.15,1
2009-07-01,69.39,75.02,65.37,74.25,green,8.11,1
2009-08-01,75.03,78.41,73.72,76.99,green,4.51,1
2009-09-01,76.61,81.2,74.82,79.34,green,5.99,1
2009-10-01,77.77,83.29,77.0,78.19,green,7.1,1
2009-11-01,78.62,84.37,77.83,83.01,green,7.31,1
2009-12-01,83.75,85.34,82.31,84.14,green,1.9,1
2010-01-01,85.3,87.4,81.39,81.52,red,-4.58,1
2010-02-01,82.09,84.7,79.38,84.06,green,3.17,1
2010-03-01,84.41,89.7,84.39,88.81,green,6.27,1
2010-04-01,89.79,93.08,89.25,90.56,green,3.67,1
2010-05-01,90.99,91.98,79.56,83.36,red,-12.56,1
2010-06-01,82.58,86.28,78.42,78.67,red,-5.05,1
2010-07-01,79.0,86.0,77.45,84.45,green,8.86,1
2010-08-01,85.77,86.68,79.87,80.65,red,-6.88,1
2010-09-01,81.74,88.68,81.68,87.4,green,8.49,1
2010-10-01,88.53,92.21,87.14,91.23,green,4.15,1
2010-11-01,91.68,94.66,90.54,91.23,red,-1.24,1
2010-12-01,92.55,97.17,92.54,96.82,green,4.99,1
2011-01-01,98.07,100.89,97.29,99.6,green,2.87,1
2011-02-01,100.2,104.25,100.14,103.06,green,4.04,1
2011-03-01,103.38,103.47,96.96,102.62,red,-6.21,1
2011-04-01,103.71,106.16,100.67,106.05,green,2.37,1
2011-05-01,106.55,106.64,102.13,104.86,red,-4.15,1
2011-06-01,104.56,104.88,98.09,102.59,red,-6.19,1
2011-07-01,103.19,106.01,99.97,101.03,red,-3.12,1
2011-08-01,102.21,102.31,86.14,95.48,red,-15.72,1
2011-09-01,95.53,96.4,86.95,88.39,red,-8.99,1
2011-10-01,88.33,101.63,84.36,98.55,green,15.05,1
2011-11-01,95.82,100.53,91.24,98.15,green,4.91,1
2011-12-01,98.04,99.93,94.25,98.55,green,1.93,1
2012-01-01,100.96,105.42,99.91,103.77,green,4.41,1
2012-02-01,104.54,109.2,104.41,108.28,green,4.46,1
2012-03-01,108.5,112.08,106.17,111.27,green,3.29,1
2012-04-01,111.62,112.87,107.75,111.01,red,-3.47,1
2012-05-01,110.95,112.43,102.82,104.35,red,-7.33,1
2012-06-01,102.71,108.15,100.91,108.02,green,5.3,1
2012-07-01,108.88,111.16,105.79,109.86,green,2.1,1
2012-08-01,110.65,114.16,108.16,112.62,green,3.17,1
2012-09-01,112.52,118.16,111.79,114.86,green,5.01,1
2012-10-01,115.91,118.03,112.6,113.37,red,-2.86,1
2012-11-01,113.61,115.27,108.04,114.01,green,1.46,1
2012-12-01,114.53,116.76,111.92,114.22,red,-2.28,1
2013-01-01,117.21,121.92,116.9,120.92,green,4.02,1
2013-02-01,121.69,123.81,120.14,122.46,green,1.75,1
2013-03-01,122.04,126.69,121.49,126.55,green,3.81,1
2013-04-01,127.05,129.59,124.58,129.55,green,2.0,1
2013-05-01,129.27,137.17,128.27,132.61,green,6.11,1
2013-06-01,132.92,134.67,126.35,130.15,red,-4.94,1
2013-07-01,131.53,138.54,130.68,137.6,green,5.33,1
2013-08-01,138.65,139.45,132.99,133.48,red,-4.08,1
2013-09-01,134.77,141.59,133.52,137.03,green,5.07,1
2013-10-01,137.81,145.49,134.85,144.08,green,5.57,1
2013-11-01,144.27,148.96,143.23,148.35,green,3.26,1
2013-12-01,148.42,151.37,145.33,151.37,green,1.99,1
2014-01-01,151.61,152.4,145.76,146.83,red,-3.86,1
2014-02-01,146.66,154.22,143.15,153.51,green,5.16,1
2014-03-01,152.16,155.76,151.42,154.11,green,2.37,1
2014-04-01,155.29,157.01,150.07,155.86,green,1.11,1
2014-05-01,155.79,159.58,153.96,159.48,green,2.43,1
2014-06-01,159.7,162.72,158.89,162.0,green,1.89,1
