Date,Open,High,Low,Close,Color,Percent_Change,Month_Count
2007-01-01,101.19,102.53,99.77,102.26,green,1.32,1
2007-02-01,102.54,104.15,98.88,100.25,red,-3.57,1
2007-03-01,99.12,113.52,97.28,111.45,green,14.53,8
2007-11-01,110.47,110.55,91.28,95.61,red,-17.37,5
2008-04-01,97.28,105.06,96.34,102.18,green,8.0,2
2008-06-01,101.8,102.58,54.71,54.85,red,-46.26,9
2009-03-01,53.8,93.08,49.78,90.56,green,73.01,14
2010-05-01,90.99,91.98,78.42,78.67,red,-13.81,2
2010-07-01,79.0,86.0,77.45,84.45,green,8.86,1
2010-08-01,85.77,86.68,79.87,80.65,red,-6.88,1
2010-09-01,81.74,104.25,81.68,103.06,green,27.54,6
2011-03-01,103.38,106.64,86.14,88.39,red,-16.68,7
2011-10-01,88.33,112.08,84.36,111.27,green,26.89,6
2012-04-01,111.62,112.87,102.82,104.35,red,-7.88,2
2012-06-01,102.71,180.78,100.91,178.51,green,76.01,38
2015-08-01,178.47,179.19,154.68,162.5,red,-13.33,2
2015-10-01,163.73,180.42,161.21,177.89,green,10.19,2
2015-12-01,178.53,179.86,155.22,166.11,red,-13.06,2
2016-02-01,165.09,255.94,155.28,251.72,green,55.03,24
2018-02-01,250.98,252.75,225.84,243.21,red,-10.02,5
2018-07-01,242.7,264.7,242.46,261.8,green,9.06,3
2018-10-01,264.25,265.24,211.46,226.08,red,-19.98,3
2019-01-01,223.82,269.1,221.71,268.71,green,20.23,4
2019-05-01,269.35,269.56,251.54,251.57,red,-6.61,1
2019-06-01,251.61,298.73,249.58,296.94,green,18.73,7
2020-01-01,299.96,314.37,202.35,238.97,red,-32.54,3
2020-04-01,231.26,329.06,227.46,327.19,green,42.29,5
2020-09-01,328.03,336.03,299.55,307.09,red,-8.68,2
2020-11-01,310.53,456.81,307.75,452.96,green,47.11,14
2022-01-01,455.83,459.35,392.99,417.87,red,-13.79,2
2022-03-01,416.35,442.21,397.28,432.23,green,6.21,1
2022-04-01,435.18,439.52,347.68,362.16,red,-20.11,3
2022-07-01,363.06,398.22,357.74,397.22,green,9.68,1
2022-08-01,394.48,416.25,344.24,344.37,red,-12.74,2
2022-10-01,349.56,394.68,337.01,394.68,green,12.91,2
2022-12-01,395.73,397.4,362.82,370.23,red,-8.32,1
2023-01-01,373.82,450.2,367.46,448.58,green,20.43,7
2023-08-01,447.1,448.06,402.4,411.24,red,-10.0,3
2023-11-01,412.22,613.23,411.68,594.18,green,48.76,16
2025-03-01,596.18,597.34,555.59,560.58,red,-6.81,1
